pointid,bundesland,probenahme_monat,probenahme_jahr,xcoord,ycoord,bodenklimaraum_name,landnutzung,bze_moor,hauptbodentyp,bodenvartypsub,grundwastufe,grundwastand,moormaechtigkeit,torfmaechtigkeit,neigung,exposition,woelbung,reliefformtyp,lageimrelief,kv_0_30,kv_30_100,profile_picture
66,SH,9,2016,569598.3543,6035155.469,südliches schleswig-holsteinisches Hügelland,G,0,YK,SS-YK,0,>200,0,0,N2.2,WW,XG,H,M,85.4,40.48,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0066_Z_1.GIF
67,SH,5,2016,576862.9588,6034047.818,südliches schleswig-holsteinisches Hügelland,A,0,LL,BB-LL,0,>200,0,0,N2,SE,GG,H,M,40.62,20.12,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0067_Z_1.GIF
68,SH,5,2016,639439.8173,6033659.928,südliches schleswig-holsteinisches Hügelland,A,0,TT,SS-TT,0,>200,0,0,N0,,GG,V,Z,70.88,56.33,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0068_Z_1.GIF
69,SH,8,2017,647378.3872,6036771.889,südliches schleswig-holsteinisches Hügelland,A,0,SS,SSn,0,>200,0,0,N0.2,SS,GG,V,Z,68.53,19.07,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0069_Z_1.GIF
71,MV,11,2012,756815.313,6036339.979,mittlere diluviale Böden MV und Uckermark,A,0,LL,SS-LL,0,>200,0,0,N1,EE,GG,V,Z,40.86,18.57,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0071_Z_1.GIF
72,MV,3,2014,774706.5334,6036778.224,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,GG,v.rGGn,GWS3,110,0,0,N0.2,SS,GX,TSF,R,53.63,35.14,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0072_Z_1.GIF
73,MV,9,2012,784193.0178,6036520.07,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,BB,SS-BB,0,>200,0,0,N0.2,NW,GV,THF,Z,39.24,26.32,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0073_Z_1.GIF
74,MV,9,2012,790665.3819,6036241.857,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,SS,SSn,0,>200,0,0,N0.2,NE,GG,TSF,Z,65.03,12,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0074_Z_1.GIF
75,MV,3,2014,800241.4186,6034711.393,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,LL,eLLn,0,>200,0,0,N2.2,EE,GV,H,M,33.26,14.42,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0075_Z_1.GIF
76,SH,9,2016,488182.1728,6026302.347,Marsch - Nord,G,0,MK,MKn,GWS3,140,0,0,N0,,GG,TSF,Z,87.22,62.53,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0076_Z_1.GIF
77,SH,11,2016,498691.3682,6025027.583,Marsch - Nord,G,0,MN,MNb,GWS5.1,100,0,0,N0,,GX,TSF,Z,94.78,76.29,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0077_Z_1.GIF
78,SH,11,2016,501866.0759,6023452.358,Marsch - Nord,A,0,MN,MNf,GWS5.1,100,0,0,N0,,GG,TSF,Z,73.33,33,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0078_Z_1.GIF
80,SH,2,2016,520424.4063,6027696.475,Marsch - Nord,A,0,YK,YK/SS,0,>200,0,0,N2.2,NE,GG,H,M,44.99,23.73,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0080_Z_1.GIF
81,SH,4,2016,526261.0495,6025864.347,Geest - Nord,A,0,PP,rGG-PP,GWS4,120,0,0,N0,,GG,TSF,R,76.5,63.3,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0081_Z_1.GIF
82,SH,1,2016,537752.6303,6023885.89,Geest - Nord,A,0,PP,vGGi-PP,GWS3,60,0,0,N0,,GG,V,Z,160.53,32.93,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0082_Z_1.GIF
83,SH,4,2016,541317.7486,6025187.31,Geest - Nord,G,0,BB,BBn,0,>200,0,0,N4,NE,XV,H,M,54.38,25.93,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0083_Z_1.GIF
84,SH,6,2016,552077.1419,6027562.909,südliches schleswig-holsteinisches Hügelland,G,1,KV,KVn,GWS2,60,430,430,N0,,GG,TSF,T,303.45,565.8,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0084_Z_1.GIF
85,SH,5,2016,559768.1136,6025952.225,südliches schleswig-holsteinisches Hügelland,A,0,LL,SS-LL,0,>200,0,0,N1,SS,GG,H,M,59.04,25.98,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0085_Z_1.GIF
86,SH,3,2017,567368.1019,6025753.858,südliches schleswig-holsteinisches Hügelland,A,0,SS,SSn,0,>200,0,0,N2,SS,GG,H,M,69.96,23.99,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0086_Z_1.GIF
87,SH,7,2016,585448.8784,6028164.863,südliches schleswig-holsteinisches Hügelland,A,0,YK,YK/eSS-LL,0,>200,0,0,N2,NE,VG,H,U,66.3,75.06,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0087_Z_1.GIF
88,SH,8,2017,592298.8631,6023952.206,südliches schleswig-holsteinisches Hügelland,A,0,YK,YK/a.cGM,GWS3,120,0,0,N0,,VG,TSF,U,111.62,296.39,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0088_Z_1.GIF
89,SH,8,2016,602741.9863,6025474.585,südliches schleswig-holsteinisches Hügelland,A,0,LL,vSS-LL,0,>200,0,0,N0,,GG,V,R,66.0,29.81,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0089_Z_1.GIF
91,MV,3,2014,745544.7933,6029745.629,mittlere diluviale Böden MV und Uckermark,A,0,LL,LLn,0,>200,0,0,N0.2,SS,GG,V,Z,40.37,25.77,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0091_Z_1.GIF
92,MV,1,2013,752522.6014,6026270.577,mittlere diluviale Böden MV und Uckermark,A,0,BB,SS-BB,0,NA,0,0,N0,,GG,V,Z,50.82,48.11,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0092_Z_1.GIF
93,MV,9,2012,760876.3618,6027332.526,mittlere diluviale Böden MV und Uckermark,A,0,GGh,GG-rGGh,GWS4,140,0,0,N1,NE,VV,THM,Z,81.26,39.52,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0093_Z_1.GIF
95,MV,9,2012,776722.0371,6029806.581,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,YK,SS-YK,0,>200,0,0,N1,NW,GG,THF,Z,42.91,28.03,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0095_Z_1.GIF
96,MV,9,2012,782096.9002,6026280.038,NW-Mecklenburg und Küstengebiet / bessere diluviale Böden,A,0,SS,g2SSn,GWS5,150,0,0,N1,NN,VX,THM,Z,86.36,87.78,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0096_Z_1.GIF
97,SH,9,2016,478290.1278,6013980.477,Marsch - Nord,G,0,MK,MKn,GWS4,130,0,0,N0,,XG,TSF,Z,90.77,58.6,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0097_Z_1.GIF
98,SH,8,2017,485465.747,6017008.726,Marsch - Nord,A,0,MD,MDn,GWS4,100,0,0,N0,,GG,TSF,Z,65.61,57.16,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0098_Z_1.GIF
100,SH,9,2018,503422.2933,6015907.063,Marsch - Nord,G,1,KV,rKV/MO,GWS2,30,50,50,N0,,GG,TS,Z,357.13,210.43,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0100_Z_1.GIF
101,SH,6,2016,510946.5383,6017794.836,Geest - Süd,G,1,GH,rPP-GH,GWS3,90,28,28,N0,,GG,TSF,Z,242.61,82.72,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0101_Z_1.GIF
102,SH,11,2016,517707.2477,6016034.116,Marsch - Nord,G,0,YU,SS-YU,0,>200,0,0,N2,SW,GG,H,M,66.31,29.17,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0102_Z_1.GIF
104,SH,10,2016,535896.1691,6018850.311,Geest - Nord,G,0,PP,GG-PP,GWS4,140,0,0,N0,,XG,ERL,K,137.71,51.33,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0104_Z_1.GIF
106,SH,8,2017,554147.0307,6018019.312,Geest - Süd,A,0,YK,sYK/SS,0,>200,0,0,N2.2,WW,GG,H,M,59.59,29.38,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0106_Z_1.GIF
107,SH,8,2017,561191.883,6017097.295,südliches schleswig-holsteinisches Hügelland,A,0,LL,SS-LL,0,>200,0,0,N0,,XX,KSR,O,27.85,10.06,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0107_Z_1.GIF
112,SH,3,2016,599845.5596,6018481.13,südliches schleswig-holsteinisches Hügelland,A,0,YK,SS-YK,0,>200,0,0,N3,SW,VG,H,U,55.41,56.03,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0112_Z_1.GIF
113,SH,8,2017,608125.5334,6019081.821,südliches schleswig-holsteinisches Hügelland,A,0,LL,vSS-LL,0,>200,0,0,N0,,XG,KSR,O,83.02,37.07,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0113_Z_1.GIF
114,SH,8,2016,617302.8658,6017761.842,südliches schleswig-holsteinisches Hügelland,A,0,LL,eLLn,0,>200,0,0,N2.2,NN,GG,H,M,47.63,41.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0114_Z_1.GIF
116,SH,9,2016,633534.5163,6019424.903,südliches schleswig-holsteinisches Hügelland,A,0,LL,s.vLLn,0,>200,0,0,N2.2,EE,XX,H,M,55.65,46.5,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0116_Z_1.GIF
119,MV,11,2013,733391.7781,6018862.895,mittlere diluviale Böden MV und Uckermark,A,0,SS,SSn,0,>200,0,0,N0,,GG,V,Z,50.08,27.75,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0119_Z_1.GIF
120,MV,10,2012,745625.9197,6018684.212,mittlere diluviale Böden MV und Uckermark,A,0,SS,vLL-SS,0,NA,0,0,N1,SW,XX,KSF,Z,42.36,29.86,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0120_Z_1.GIF
121,MV,10,2012,753992.0114,6020974.314,mittlere diluviale Böden MV und Uckermark,G,0,SS,rSSm,0,>200,0,0,N0,,GG,E,Z,141.9,22.08,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0121_Z_1.GIF
123,MV,11,2012,768830.0724,6018108.773,mittlere diluviale Böden MV und Uckermark,A,0,BB,BBn,0,>200,0,0,N0,,GG,V,Z,47.56,50.22,https://atlas.thuenen.de/webspace/bze_profilbilder/MV_0123_Z_1.GIF
124,SH,9,2016,496883.1935,6009660.976,Niedersächsische Küsten- und Elbmarsch,A,0,MN,MNn,GWS5.1,110,0,0,N0,,GG,TSF,T,45.42,19.43,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0124_Z_1.GIF
125,SH,8,2018,504527.5631,6009126.934,Niedersächsische Küsten- und Elbmarsch,A,0,MN,MNn,GWS4,198,0,0,N0,,GG,TS,Z,48.59,44.99,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0125_Z_1.GIF
126,SH,6,2016,514627.8351,6007229.02,Geest - Süd,G,1,ZZ,">GGh\\HNn",GWS2,50,200,156,N0,,GG,TSF,Z,195.45,505.82,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0126_Z_1.GIF
127,SH,11,2016,521187.8562,6010530.429,Geest - Süd,A,0,BB,LL-BB,0,>200,0,0,N0.2,NN,GG,V,Z,48.37,28.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0127_Z_1.GIF
128,SH,6,2016,525758.452,6008202.731,Geest - Süd,G,1,MD,MDn,GWS3,90,200,140,N0,,GG,TSF,Z,95.99,292.71,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0128_Z_1.GIF
129,SH,4,2017,536457.2109,6007057.991,Geest - Süd,G,0,PP,g2PPn,GWS4,140,0,0,N1,EE,XX,TSF,R,128.92,103.97,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0129_Z_1.GIF
131,SH,4,2017,552079.769,6007306.031,Geest - Süd,G,0,YU,GGi-PP-YU,GWS4,130,0,0,N0,,GG,V,Z,140.13,86.14,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0131_Z_1.GIF
132,SH,2,2017,560749.4784,6007768.882,Geest - Süd,A,0,BB,lBBn,0,>200,0,0,N1,SS,XX,ERL,O,24.32,5.02,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0132_Z_1.GIF
134,SH,8,2016,576449.7546,6010841.698,südliches schleswig-holsteinisches Hügelland,G,0,SS,g4SSn,0,>200,0,0,N2,SE,XG,H,U,73.08,24.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0134_Z_1.GIF
1757,NI,8,2011,589785.994,5777457.562,Südhannover / Lehmböden,A,0,LL,LLn,0,>200,0,0,N1,SS,GX,KHR,K,49.41,26.16,https://atlas.thuenen.de/webspace/bze_profilbilder/NI_1757_Z_1.GIF
136,SH,4,2016,592058.3846,6012734.224,südliches schleswig-holsteinisches Hügelland,A,0,SS,vLL-SS,0,>200,0,0,N0,,XG,ERL,K,53.46,19.34,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0136_Z_1.GIF
137,SH,4,2017,601166.1114,6009738.083,südliches schleswig-holsteinisches Hügelland,G,0,SS,DD-SS,0,>200,0,0,N3.1,EE,GG,H,M,66.26,32.1,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0137_Z_1.GIF
138,SH,10,2016,611076.7976,6009876.067,südliches schleswig-holsteinisches Hügelland,G,0,LL,SS-LL,0,>200,0,0,N4,SW,XX,H,M,56.93,27.31,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0138_Z_1.GIF
140,SH,7,2016,625135.2553,6012447.687,südliches schleswig-holsteinisches Hügelland,A,0,YK,SS-YK,0,>200,0,0,N2,SS,GG,H,M,45.06,29.9,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0140_Z_1.GIF
141,SH,11,2017,633309.0636,6009870.619,südliches schleswig-holsteinisches Hügelland,G,0,SS,SSn,0,NA,0,0,N0,,GG,V,Z,60.15,21.21,https://atlas.thuenen.de/webspace/bze_profilbilder/SH_0141_Z_1.GIF
