PointID,HorizontID,Upper limit,Lower limit,Horizon symbol,Rock fragment fraction,Soil colour,Stones,Stone density,Carbonate class,Organic matter content class,Rooting intensity,gS,mS,fS,gU,mU,fU,Sand,Silt,Clay,Soil texture class_x,BD_FS,BD_bulk,FSS,Water content,pH_H2O,EC_H2O,pH_CaCl2,TC,TOC,TIC,TN,County
5,6.0,62.0,69.0,II; Ae,0.0,10YR 6/1,0,2.65,C0,h1,Wf2,1.2,64.7,30.4,1.3,0.9,0.2,96.2,2.3,1.5,mSfs,1.27,1.27,1270.0,26.75,5.75,29.6,4.92,31.09,31.09,0.0,1.1600000000000001,SH        
5,7.0,69.0,80.0,II; fBsh°Go,0.0,5YR 3/2,0,2.65,C0,h3,Wf1,1.0,56.0,38.0,1.0,0.4,0.0,94.9,1.3,3.8,mSfs,1.45,1.45,1450.0,21.76,5.35,30.8,4.41,20.150000000000002,20.150000000000002,0.0,0.73,SH        
5,8.0,80.0,90.0,II; fBs°Go,0.0,5YR 4/3,0,2.65,C0,h2,Wf1,0.6,39.3,59.0,0.5,0.1,0.1,98.9,0.7,0.4,fSms,1.6,1.6,1600.0,17.58,5.19,29.2,4.38,6.74,6.74,0.0,0.22999999999999998,SH        
6,1.0,0.0,8.0,I; R-aAh,0.849811321,5YR 3/3,1,2.65,C0,h3,Wf6,5.2,71.4,14.5,0.9,1.2,1.3,91.1,3.3,5.6,St2,1.2,1.21,1180.2,19.5,4.77,63.5,3.94,24.47,24.47,0.0,2.1,SH        
6,2.0,8.0,30.0,I; R+arAp,1.183396226,5YR 3/3,1,2.65,C0,h3,Wf3,5.5,72.9,13.3,1.4,1.5,0.1,91.7,2.9,5.4,St2,1.48,1.49,2924.0,12.38,5.12,41.7,4.4,11.66,11.66,0.0,0.98,SH        
6,3.0,30.0,50.0,I; R+aGso+aGr,1.362264151,10YR 6/2,1,2.65,C0,h1,Wf1,4.2,79.0,11.6,1.0,0.1,0.2,94.8,1.4,3.8,mS,1.42,1.44,2801.3,10.2,5.71,28.7,5.03,3.9800000000000004,3.9800000000000004,0.0,0.29000000000000004,SH        
6,4.0,50.0,70.0,I; R+aGr+aGso,0.034716981,5YR 3/2,1,2.65,C0,h4,Wf1,3.7,54.6,21.1,2.9,2.3,1.9,79.4,7.1,13.5,St2,0.89,0.89,1779.4,37.95,5.27,71.1,4.48,35.699999999999996,35.699999999999996,0.0,3.01,SH        
6,5.0,70.0,120.0,I; R+aGo+aGso,0.779622642,10YR 6/6,1,2.65,C0,h1,Wf0,13.8,77.1,6.9,0.3,0.0,0.0,97.9,0.3,1.8,mS,1.35,1.36,4015.2,10.77,5.77,30.6,5.11,2.41,2.41,0.0,0.15,SH        
7,6.0,120.0,130.0,III; tbGr,0.0,5Y 3/1,0,2.65,C0,h3,Wf0,0.2,0.6,21.2,24.8,12.3,7.9,21.9,45.0,33.1,Lt2,1.12,1.12,1118.2,31.85,5.52,206.0,5.11,24.540000000000003,24.540000000000003,0.0,2.54,SH        
7,7.0,130.0,201.0,IV; nHr,0.0,10YR 2/1,0,2.65,C0,h7,Wf0,0.2,0.6,21.0,23.9,12.5,8.2,21.8,44.5,33.7,Lt2,1.2,1.2,2397.9,39.1,6.22,93.1,5.81,25.71,25.71,0.0,2.5,SH        
7,1.0,0.0,27.0,I; tbAp,0.0,10YR 3/2,0,2.65,C0,h3,Wf3,0.1,0.2,2.6,17.9,15.2,10.0,2.9,43.1,54.0,Tu2,1.32,1.32,1188.0,35.34,5.94,73.1,5.42,15.57,15.57,0.0,1.53,SH        
7,2.0,27.0,39.0,II; tbSq1,0.0,2.5Y 5/4,0,2.65,C0,h2,Wf3,0.2,0.4,1.8,13.6,14.4,12.2,2.4,40.1,57.5,Tu2,1.12,1.12,1232.0,45.81,5.55,94.1,5.08,18.54,18.54,0.0,1.8399999999999999,SH        
7,3.0,39.0,48.0,II; tbSq2,0.0,2.5Y 3/2,0,2.65,C0,h2,Wf3,0.3,0.6,1.8,16.1,14.8,10.5,2.6,41.4,56.0,Tu2,1.05,1.05,2100.0,51.3,4.81,89.7,4.25,12.780000000000001,12.780000000000001,0.0,1.36,SH        
7,4.0,48.0,74.0,II; tbGro,0.0,2.5Y 5/2,0,2.65,C0,h2,Wf2,0.2,1.0,18.4,27.1,11.2,7.5,19.5,45.8,34.7,Lt2,1.01,1.01,3030.0,52.94,4.16,112.4,3.59,11.6,11.6,0.0,1.04,SH        
8,5.0,67.0,82.0,III; fBsh°Go,0.0,5YR 2.5/1,0,2.65,C0,h3,Wf1,0.4,25.1,39.7,13.0,4.6,3.0,65.1,20.6,14.3,Sl4,1.34,1.34,1337.8,28.35,5.9,61.0,5.28,20.470000000000002,20.470000000000002,0.0,1.58,SH        
8,6.0,82.0,100.0,III; fBs°Gw,0.018867925,7.5YR 4/6,0,2.65,C0,h0,Unknown,0.5,26.2,37.7,12.1,5.0,2.8,64.4,19.9,15.7,Sl4,1.53,1.53,3059.4,22.77,5.94,45.7,5.23,16.84,16.84,0.0,1.35,SH        
8,7.0,100.0,125.0,III; Gr,0.0,10YR 4/4,0,2.65,C0,h0,Unknown,1.6,55.0,40.0,1.0,0.3,0.0,96.6,1.3,2.1,mSfs,1.57,1.57,1570.0,11.98,5.96,28.4,5.18,2.72,2.72,0.0,0.13,SH        
8,1.0,0.0,14.0,I; tbAp,0.0,10YR 3/1,0,2.65,C0,h3,Wf4,0.5,46.5,49.8,0.9,0.2,0.2,96.9,1.3,1.8,fSms,1.6,1.6,1600.0,18.9,5.98,32.9,5.25,5.629999999999999,5.629999999999999,0.0,0.2,SH        
8,2.0,14.0,30.0,I; tbAp-Go,0.017358491,10YR 3/1,0,2.65,C0,h3,Wf3,0.2,40.4,57.3,0.4,0.3,0.0,97.9,0.7,1.4,fSms,1.57,1.57,3139.5,15.84,6.08,38.4,5.3,5.76,5.76,0.0,0.19,SH        
8,3.0,30.0,40.0,II; fAh+ilCv,0.0,10YR 4/2,0,2.65,C0,h2,Wf2,0.3,41.3,56.4,0.3,0.1,0.1,98.0,0.5,1.5,fSms,1.55,1.55,1860.0,21.88,6.19,33.5,5.45,11.47,11.47,0.0,0.33,SH        
8,4.0,40.0,67.0,III; fAeh°Go,0.015849057,7.5YR 3/1,0,2.65,C0,h3,Wf1,0.8,9.6,86.9,2.0,0.0,0.0,97.3,2.0,0.7,fS,1.61,1.61,2896.3,23.05,6.27,33.0,5.5,5.89,5.89,0.0,0.18,SH        
10,5.0,115.0,167.0,II; Gor,0.092075472,2.5YR 5/4,15,2.65,C0,h0,Wf0,1.0,29.0,53.0,10.2,1.8,1.1,83.0,13.1,3.9,Su2,1.07,1.08,1067.8,29.09,6.08,66.0,5.48,41.790000000000006,41.790000000000006,0.0,2.48,SH        
10,6.0,167.0,201.0,II; Gr,0.156981132,5Y 4/1,2,2.65,C0,h0,Wf0,1.2,30.5,52.4,9.0,1.8,1.2,84.0,12.0,4.0,Su2,1.26,1.26,2514.4,27.56,6.1,67.4,5.55,40.43,40.43,0.0,2.42,SH        
10,7.0,33.0,55.0,Unknown,2.261132075,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,1.1,49.2,44.3,3.2,0.3,0.1,94.7,3.6,1.7,mSfs,1.44,1.47,2814.9,15.99,5.82,40.6,5.2,14.31,14.31,0.0,0.59,SH        
10,8.0,33.0,55.0,Unknown,0.0,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.8,40.0,54.5,3.3,0.1,0.2,95.2,3.6,1.2,fSms,1.65,1.65,3300.0,15.93,5.46,35.4,4.77,4.32,4.32,0.0,0.19,SH        
10,1.0,0.0,30.0,I; Ap,0.0,10YR 2/1,1,2.65,C0,h4,Wf3,0.8,52.4,45.2,0.7,0.0,0.0,98.4,0.7,0.9,mSfs,1.68,1.68,5040.0,16.88,5.37,39.1,4.67,4.7299999999999995,4.7299999999999995,0.0,0.18,SH        
11,2.0,12.0,27.0,I; Go-rAp,0.125283019,7.5YR 3/1,0,2.65,C0,h4,Wf4,3.5,32.1,51.7,6.1,1.8,0.7,87.2,8.6,4.2,fSms,1.08,1.08,1077.1,23.67,5.79,106.6,4.96,46.91,46.91,0.0,3.71,SH        
11,3.0,27.0,52.0,I; Go,0.931320755,2.5Y 5/1,0,2.65,C0,h1,Wf2,2.9,28.8,55.5,6.7,1.3,0.7,87.1,8.7,4.2,fSms,1.2,1.21,2377.2,32.02,5.11,78.6,4.61,32.400000000000006,32.400000000000006,0.0,2.54,SH        
11,4.0,52.0,70.0,I; Gor,0.0,5Y 5/1,0,2.65,C0,h0,Unknown,0.1,14.2,79.1,4.2,0.3,0.1,93.3,4.6,2.1,fS,1.63,1.63,3251.7,19.19,5.14,52.9,4.62,2.22,2.22,0.0,0.1,SH        
11,5.0,70.0,201.0,I; Gr,0.0,5Y 4/1,0,2.65,C0,h0,Unknown,0.2,13.8,82.5,1.4,0.3,0.0,96.5,1.7,1.8,fS,1.48,1.47,2929.9,26.02,5.14,142.1,4.76,1.57,1.57,0.0,0.06,SH        
11,6.0,33.0,55.0,Unknown,0.0,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.0,0.5,92.6,4.1,0.7,0.0,93.1,4.8,2.1,fS,1.5,1.5,4472.5,26.99,5.39,218.0,4.88,3.2600000000000002,3.2600000000000002,0.0,0.13,SH        
12,1.0,0.0,26.0,I; jAp,1.631698113,10YR 3/2,3,2.65,C0,h4,Wf3,6.7,56.1,28.3,2.6,1.7,0.8,91.1,5.0,3.9,mSfs,1.27,1.27,1247.8,17.64,6.15,62.0,5.76,32.17,32.17,0.0,1.75,SH        
12,2.0,26.0,50.0,II; fAp,1.913962264,10YR 2/1,4,2.65,C0,h5,Wf2,7.4,58.0,25.8,3.2,1.2,0.5,91.3,4.8,3.9,mSfs,1.42,1.43,2778.9,16.7,6.03,44.4,5.62,25.49,25.49,0.0,1.4000000000000001,SH        
12,3.0,50.0,68.0,II; Go-Bhs,2.386415094,7.5YR 4/3,3,2.65,C0,h1,Wf1,6.0,54.3,29.1,4.1,1.5,0.7,89.4,6.3,4.3,mSfs,1.51,1.52,2947.9,19.78,6.0,46.9,5.56,40.510000000000005,40.510000000000005,0.0,2.0100000000000002,SH        
12,4.0,68.0,115.0,II; Gw,2.454339623,7.5YR 5/3,4,2.65,C0,h1,Wf0,4.6,58.9,34.4,1.1,0.0,0.1,97.9,1.2,0.9,mSfs,1.69,1.7,3297.0,15.32,5.92,26.3,5.36,3.15,3.15,0.0,0.17,SH        
12,5.0,115.0,165.0,II; Gr,2.215849057,2.5Y 4/2,4,2.65,C0,h0,Wf0,3.9,39.4,53.7,1.7,0.1,0.2,97.0,1.9,1.1,fSms,1.66,1.66,4869.7,10.55,5.76,33.3,5.27,2.7700000000000005,2.7700000000000005,0.0,0.14,SH        
14,1.0,0.0,30.0,I; Aep,0.840754717,7.5YR 3/1,1,2.65,C0,h3,Wf3,2.7,61.3,26.2,3.1,2.0,1.2,90.3,6.2,3.5,mSfs,1.4,1.41,1387.8,16.64,5.78,54.7,4.86,17.73,17.73,0.0,1.35,SH        
14,2.0,30.0,40.0,I; rAep,0.532075472,7.5YR 4/1,1,2.65,C0,h2,Wf1,2.6,62.3,25.5,3.0,1.9,1.2,90.4,6.1,3.5,mSfs,1.53,1.53,3043.7,13.9,5.8,47.8,5.12,14.97,14.97,0.0,1.1300000000000001,SH        
14,3.0,40.0,54.0,I; ilCv+Bsh+Bs,0.983396226,5YR 3/3,1,2.65,C0,h2,Wf1,2.4,63.5,25.3,3.3,1.5,1.2,91.1,5.9,3.0,mSfs,1.57,1.58,1554.6,10.72,6.37,53.7,5.71,8.97,8.97,0.0,0.61,SH        
14,4.0,54.0,73.0,I; Bhs+ilCv,0.029433962,7.5YR 4/6,1,2.65,C0,h1,Wf0,1.8,68.2,25.1,1.0,0.7,0.2,95.2,1.9,2.9,mSfs,1.35,1.35,1349.6,12.14,6.4,42.7,5.73,12.21,12.21,0.0,0.5800000000000001,SH        
14,5.0,73.0,140.0,I; ilCv,0.253584906,10YR 7/4,1,2.65,C0,h0,Wf0,2.0,69.9,25.8,0.7,0.0,0.0,97.7,0.7,1.6,mSfs,1.43,1.43,2852.7,8.12,6.45,32.3,5.74,5.04,5.04,0.0,0.25,SH        
14,6.0,140.0,201.0,I; Gw,0.0,10YR 6/4,1,2.65,C0,h0,Wf0,3.5,67.3,27.3,0.8,0.0,0.1,98.1,1.0,0.9,mSfs,1.51,1.51,4530.0,4.89,6.49,23.8,5.75,1.6500000000000001,1.6500000000000001,0.0,0.08,SH        
15,1.0,0.0,33.0,I; Ap,4.283773585,10YR 3/3,4,2.65,C0,h3,Wf4,8.5,32.2,26.9,13.9,5.8,3.5,67.5,23.3,9.2,Sl3,1.36,1.4,1301.1,22.58,6.16,137.5,5.63,16.080000000000002,16.080000000000002,0.0,1.52,SH        
15,2.0,33.0,120.0,I; M,3.366792453,10YR 4/3,4,2.65,C0,h2,Wf3,8.2,31.2,27.7,14.2,6.1,3.4,67.1,23.7,9.2,Sl3,1.25,1.28,2406.5,22.36,6.03,62.5,5.46,15.41,15.41,0.0,1.35,SH        
15,3.0,120.0,130.0,II; fAh,5.575849057,10YR 3/2,3,2.65,C0,h3,Unknown,7.4,29.3,26.8,16.3,6.6,3.6,63.4,26.5,10.1,Sl3,1.42,1.48,2681.6,16.23,5.85,37.7,5.19,10.049999999999999,10.049999999999999,0.0,0.9299999999999999,SH        
15,4.0,130.0,201.0,III; Swd,5.907169811,2.5Y 5/4,5,2.65,C0,h0,Unknown,7.0,28.8,27.2,17.2,6.9,3.5,63.0,27.6,9.4,Sl3,1.35,1.41,2540.5,15.57,5.8,32.5,5.06,8.62,8.62,0.0,0.8,SH        
15,5.0,33.0,55.0,Unknown,5.076226415,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,7.1,26.9,27.2,19.3,7.7,3.7,61.2,30.7,8.1,Sl3,1.29,1.35,3673.5,16.72,5.66,26.1,4.83,6.75,6.75,0.0,0.61,SH        
16,6.0,133.0,160.0,IV; tmGr1,0.034716981,2.5Y 5/3,0,2.65,C0,h1,Unknown,0.1,0.7,44.5,20.3,7.0,4.2,45.3,31.5,23.2,Ls3,1.28,1.28,1279.6,24.36,6.66,76.7,6.24,16.759999999999998,16.759999999999998,0.0,1.47,SH        
16,1.0,0.0,33.0,I; tmAp,0.024150943,2.5Y 3/1,0,2.65,C0,h3,Wf4,0.1,0.8,45.8,19.7,7.0,4.3,46.7,31.0,22.3,Ls3,1.32,1.32,2637.0,25.2,6.59,106.3,6.17,17.39,17.39,0.0,1.5,SH        
16,2.0,33.0,59.0,II; tmGo,0.0,2.5Y 4/1,0,2.65,C0,h1,Wf3,0.1,0.5,7.2,16.5,14.0,11.2,7.8,41.7,50.5,Tu2,1.13,1.13,2260.0,42.87,6.81,137.7,6.47,20.630000000000003,20.630000000000003,0.0,1.81,SH        
16,3.0,59.0,71.0,III; fnHw,0.012075472,10YR 2/2,0,2.65,C0,h7,Unknown,0.1,0.4,4.9,18.9,14.6,10.6,5.4,44.0,50.6,Tu2,1.04,1.04,935.9,49.38,6.74,146.5,6.44,26.19,26.19,0.0,2.17,SH        
16,4.0,71.0,97.0,III; fnHr1,0.0,10YR 2/1,0,2.65,C0,h7,Unknown,2.4,12.6,16.2,14.5,10.8,4.9,42.5,33.6,16.8,> 30 Masse%-OBS,0.23,0.23,252.4,313.73,4.98,115.8,4.32,447.92,447.92,0.0,13.39,SH        
16,1.0,0.0,33.0,I; tmAp,0.0,2.5Y 3/1,0,2.65,C0,h3,Wf4,2.4,12.6,16.2,14.5,10.8,4.9,42.5,33.6,16.8,> 30 Masse%-OBS,0.16,0.16,448.7,506.73,5.39,146.6,4.88,498.72999999999996,498.72999999999996,0.0,11.43,SH        
17,2.0,32.0,50.0,I; tbGo,0.0,2.5Y 4/2,0,2.65,C0,h2,Wf3,0.5,2.0,3.0,10.1,23.0,10.9,5.4,44.0,50.6,Tu2,1.19,1.19,1189.5,38.57,6.67,88.6,6.21,26.73,26.33,0.4,2.58,SH        
17,3.0,50.0,74.0,I; tbGro,0.0,2.5Y 4/1,0,2.65,C0,h2,Wf2,0.5,1.7,2.6,11.2,21.9,11.5,4.8,44.7,50.5,Tu2,1.24,1.24,2480.0,39.37,6.52,99.2,6.01,25.41,25.41,0.0,2.62,SH        
17,4.0,74.0,98.0,I; tbGor,0.107924528,5Y 4/1,0,2.65,C0,h3,Wf1,0.8,1.9,1.4,2.8,14.8,15.6,4.0,33.1,62.9,Tu2,1.1,1.1,2197.6,48.42,6.98,82.7,6.5,10.42,10.42,0.0,1.19,SH        
17,5.0,98.0,130.0,II; fnHr1,0.0,10YR 3/2,0,2.65,C0,h7,Unknown,0.4,0.9,1.3,6.4,20.8,11.8,2.6,38.9,58.5,Tu2,1.1,1.1,2200.0,50.25,6.99,134.4,6.59,14.11,14.11,0.0,1.35,SH        
17,6.0,130.0,201.0,II; fnHr2,0.0,7.5YR 2.5/1,0,2.65,C0,h7,Unknown,0.4,3.0,2.6,7.8,17.9,12.5,6.0,38.2,55.8,Tu2,0.77,0.77,2310.0,84.62,5.61,265.0,5.07,38.79,38.79,0.0,2.7600000000000002,SH        
18,7.0,33.0,55.0,Unknown,0.390188679,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,3.4,26.2,55.4,5.8,2.2,1.2,85.0,9.2,5.8,St2,1.07,1.07,1065.8,33.22,6.03,93.3,5.45,36.98,36.98,0.0,2.05,SH        
18,1.0,0.0,33.0,I; Ap,1.529811321,10YR 2/1,2,2.65,C0,h5,Wf4,3.6,27.0,54.7,5.4,2.2,1.1,85.3,8.8,5.9,St2,1.16,1.18,2283.1,32.08,5.92,101.8,5.29,36.84,36.84,0.0,2.06,SH        
18,2.0,33.0,42.0,I; Go,11.74662564,10YR 5/3,10,2.65,C0,h1,Wf2,7.0,37.4,47.9,3.8,0.7,0.1,92.3,4.7,3.0,fSms,1.59,1.48,1645.7,16.05,6.01,89.7,5.4,6.93,6.93,0.0,0.33,SH        
18,3.0,42.0,52.0,II; Go,4.838490566,10YR 6/3,2,2.65,C0,h1,Wf1,16.2,64.7,14.9,1.4,0.7,0.2,95.8,2.3,1.9,mSfs,1.6,1.65,1218.1,13.26,6.04,65.2,5.4,2.29,2.29,0.0,0.13,SH        
18,4.0,52.0,87.0,II; Gro,3.930566038,10YR 5/2,2,2.65,C0,h0,Wf0,24.3,63.0,7.8,1.1,1.3,0.4,95.2,2.8,2.0,mSgs,1.68,1.72,3217.6,15.39,6.03,60.0,5.39,3.33,3.33,0.0,0.15,SH        
18,5.0,87.0,140.0,II; Gr,4.369811321,2.5Y 4/1,2,2.65,C0,h0,Wf0,18.5,55.8,14.9,3.0,3.5,1.0,89.2,7.5,3.3,mSgs,1.4,1.46,2275.1,18.0,5.4,72.2,4.82,3.57,3.57,0.0,0.16,SH        
18,6.0,140.0,175.0,III; eGr,4.202264151,5Y 5/1,2,2.65,C3.3,h0,Wf0,14.9,70.0,10.5,1.3,1.3,0.3,95.4,2.9,1.7,mS,1.58,1.62,1955.3,19.32,4.48,201.0,4.09,2.17,2.17,0.0,0.09,SH        
19,1.0,0.0,34.0,I; Ap,0.843773585,10YR 2/1,2,2.65,C0,h4,Wf3,4.0,53.1,29.5,4.3,2.6,1.9,86.5,8.8,4.7,mSfs,1.32,1.33,1308.9,28.46,6.1,70.2,5.82,21.36,21.36,0.0,1.6400000000000001,SH        
19,2.0,34.0,46.0,I; Bh-Gw,1.50490566,7.5YR 4/2,2,2.65,C0,h1,Wf1,3.9,54.2,28.0,4.3,2.8,1.8,86.0,8.9,5.1,St2,1.36,1.38,2677.4,21.97,6.2,94.4,5.81,23.18,23.18,0.0,1.7799999999999998,SH        
19,3.0,46.0,60.0,I; Gw,1.849056604,10YR 6/4,1,2.65,C0,h0,Wf0,5.5,68.9,18.9,2.7,1.5,0.8,93.3,5.0,1.7,mSfs,1.55,1.57,3042.7,13.11,6.09,27.9,5.6,3.5999999999999996,3.5999999999999996,0.0,0.29000000000000004,SH        
19,4.0,60.0,168.0,I; Gr,1.264150943,10YR 6/3,0,2.65,C0,h0,Wf0,10.6,77.1,9.7,1.2,0.6,0.0,97.4,1.8,0.8,mS,1.63,1.64,1609.4,13.93,6.08,18.3,5.41,1.1300000000000001,1.1300000000000001,0.0,0.1,SH        
19,5.0,168.0,185.0,II; Gr,0.243773585,2.5Y 5/3,10,2.65,C0,h1,Wf0,3.9,72.7,21.0,0.9,0.6,0.0,97.7,1.5,0.8,mSfs,1.62,1.62,1616.1,18.45,6.03,23.0,5.38,0.97,0.97,0.0,0.07,SH        
19,6.0,33.0,55.0,Unknown,0.450566038,Unknown,Unknown,2.65,Unknown,Unknown,Unknown,0.9,65.6,31.6,1.0,0.2,0.0,98.1,1.2,0.7,mSfs,1.61,1.61,4808.2,19.04,6.05,20.8,5.38,0.8,0.8,0.0,0.07,SH        
20,1.0,0.0,33.0,I; Ap,8.261149864,10YR 2/1,8,2.65,C0,h4,Wf3,13.8,51.7,22.2,4.5,2.6,1.6,87.6,8.8,3.6,mSfs,1.19,1.48,1079.8,19.21,5.69,129.4,5.17,37.45,37.45,0.0,1.7399999999999998,SH        
20,2.0,33.0,70.0,I; Bhs-Bs,8.995880394,5YR 7/6,8,2.65,C0,h1,Wf2,14.3,52.0,21.4,4.5,3.0,1.4,87.7,8.8,3.5,mSfs,1.29,1.48,2321.9,19.77,5.76,106.2,5.24,36.18,36.18,0.0,1.8900000000000001,SH        
